age,job,education,contact,duration,campaign,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,marital_married,marital_single,marital_unknown,default_unknown,default_yes,housing_unknown,housing_yes,loan_unknown,loan_yes,poutcome_nonexistent,poutcome_success,aug,dec,jul,jun,mar,may,nov,oct,sep,mon,thu,tue,wed
56,4,2,0,261,1,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
57,7,5,0,149,1,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
37,7,5,0,226,1,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
40,10,3,0,151,1,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
56,7,5,0,307,1,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
45,7,4,0,198,1,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
59,10,6,0,139,1,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
41,8,1,0,217,1,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
24,9,6,0,380,1,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
25,7,5,0,50,1,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
41,8,1,0,55,1,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
25,7,5,0,222,1,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
29,8,5,0,137,1,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
57,4,2,0,293,1,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
35,8,3,0,146,1,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
54,3,4,0,174,1,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
35,8,3,0,312,1,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
46,8,3,0,440,1,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
50,8,4,0,353,1,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
39,11,4,0,195,1,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
30,2,5,0,38,1,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
55,8,2,0,262,1,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
55,3,5,0,342,1,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
41,9,5,0,181,1,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
37,10,5,0,172,1,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
